6,Alloparentalité,Senparenca infana prizorgo,, https://fr.wikipedia.org/wiki/Parent + https://vortaro.net/#parenco_kd ,"aucune certitude concernant la traduction, quelqu'un a mieux ?"
6,Groupe matrilinéaire,patr'in'a're'kon'ar'o / Patrinidaro ?,,https://vortaro.net/#rekono_kd + https://www.google.com/search?client=opera-gx&q=matrilinéaire&sourceid=opera&ie=UTF-8&oe=UTF-8 ,"aucune certitude concernant la traduction, quelqu'un a mieux ?"
7,_Éthique animale,,,,
7,Conscience animale,besta(_)memkonscio,,https://eo.wikipedia.org/wiki/Memkonscio,"ou animalamemkonscio ? trouvé plus haut pour ""écholocalisation""*"
7,Droit à exister,Ekzistrajto,,https://eo.wikipedia.org/wiki/Sindikato,"""En pluraj landoj la ekzistrajto de sindikatoj estas konstitucie sekurigita"""
7,Élevage,Bredado,,https://eo.wikipedia.org/wiki/Bredado + https://vortaro.net/#bredo_kd,
7,Exploitation,Ekspluatado,,https://vortaro.net/#ekspluato_kd,
8,_Comparaison humains / autres intelligences,,,,
8,Communication interespèces,Interspecia komunikado,,https://vortaro.net/#komuniko_kd + https://eo.wikipedia.org/wiki/Specio,
8,Compréhension de l'autre,Aliulkompreno,,,
8,Dialogue interespèces,Interspecia dialogo,,selon interspecia komunikado + piv,
8,Intelligence non humaine,Nehoma intelekto,,https://eo.wikipedia.org/wiki/Intelekto + https://vortaro.net/#nehoma_kd ,
8,Projection,,,,dans quel sens ? ( https://fr.wikipedia.org/wiki/Projection )
9,_Concepts biologiques et cognitifs avancés,,,,
9,Biais cognitif,Kogna biaso,,https://eo.wikipedia.org/wiki/Kogna_biaso,
9,Contagion émotionnelle,Emocia influo,,https://eo.wikipedia.org/wiki/Emocia_intelekto,
9,Culture animale,Besta kulturo,,,"ou animala kulturo ? trouvé plus haut pour ""écholocalisation""*"
9,Écolocalisation,Eĥolokigo,,https://eo.wikipedia.org/wiki/Eĥolokigo,"écholocalisation ? on remarque que le terme ""animalo"" est employé*"
9,Empathie,Empatio,,https://eo.wikipedia.org/wiki/Empatio,bien des synonymes possibles
9,Formant,Formanto,,https://eo.wikipedia.org/wiki/Formanto,
9,Inférence transitive,transira inferenco,,https://vortaro.net/#inferenco_kd + https://vortaro.net/#transiro_kd,
9,Métacognition,Metakogno,,https://vortaro.net/#meta_kd,
9,Néocortex,Novkortiko,,https://reta-vortaro.de/revo/art/kortik.html,
9,Neurone en fuseau,Neŭrono de von Economo / long'forma neŭrono,,,
9,Permanence de l'objet,Permanenteco de objektoj,,https://eo.wikipedia.org/wiki/Permanenteco_de_objektoj,
9,Spectrogramme,Spektrogramo,,https://eo.wikipedia.org/wiki/Spektrogramo,
9,Voyelle,Vokalo,,https://eo.wikipedia.org/wiki/Vokalo,
